Sector,Full_Time_Employees,Timestamp,Symbol,EventDate,Industry
Healthcare,"13,500",2018-01-01 20:00:06,A,2018-01-01,Medical Laboratories & Research
Basic Materials,"14,000",2018-01-01 20:00:10,AA,2018-01-01,Aluminum
Healthcare,"2,000",2018-01-01 20:00:14,AAC,2018-01-01,Specialized Health Services
Services,"127,600",2018-01-01 20:00:18,AAL,2018-01-01,Major Airlines
Services,"11,500",2018-01-01 20:00:20,AAN,2018-01-01,Rental & Leasing Services
Technology,"2,776",2018-01-01 20:00:22,AAOI,2018-01-01,Semiconductor - Integrated Circuits
Industrial Goods,"1,619",2018-01-01 20:00:24,AAON,2018-01-01,General Building Materials
Services,"41,000",2018-01-01 20:00:28,AAP,2018-01-01,Auto Parts Stores
Consumer Goods,"123,000",2018-01-01 20:00:31,AAPL,2018-01-01,Electronic Equipment
Financial,178,2018-01-01 20:00:32,AAT,2018-01-01,REIT - Retail
Services,"2,646",2018-01-01 20:00:34,AAWW,2018-01-01,"Air Services, Other"
Healthcare,584,2018-01-01 20:00:36,ABAX,2018-01-01,Medical Laboratories & Research
Healthcare,"29,000",2018-01-01 20:00:40,ABBV,2018-01-01,Drug Manufacturers - Major
Services,"19,000",2018-01-01 20:00:41,ABC,2018-01-01,Drugs Wholesale
Financial,"1,298",2018-01-01 20:00:43,ABCB,2018-01-01,Regional - Mid-Atlantic Banks
Services,565,2018-01-01 20:00:46,ABCD,2018-01-01,Education & Training Services
Services,"3,800",2018-01-01 20:00:47,ABCO,2018-01-01,Business Services
Services,"7,900",2018-01-01 20:00:54,ABG,2018-01-01,Auto Dealerships
Services,"140,000",2018-01-01 20:00:55,ABM,2018-01-01,Business Services
Healthcare,908,2018-01-01 20:00:57,ABMD,2018-01-01,Medical Appliances & Equipment
Healthcare,"75,000",2018-01-01 20:01:00,ABT,2018-01-01,Medical Appliances & Equipment
Healthcare,425,2018-01-01 20:01:10,ACAD,2018-01-01,Biotechnology
Financial,"3,170",2018-01-01 20:01:18,ACC,2018-01-01,REIT - Residential
Consumer Goods,"5,040",2018-01-01 20:01:22,ACCO,2018-01-01,Office Supplies
Basic Materials,286,2018-01-01 20:01:27,ACET,2018-01-01,Chemicals - Major Diversified
Financial,"3,250",2018-01-01 20:01:30,ACGL,2018-01-01,Property & Casualty Insurance
Healthcare,"26,900",2018-01-01 20:01:34,ACHC,2018-01-01,Specialized Health Services
Healthcare,81,2018-01-01 20:01:36,ACHN,2018-01-01,Biotechnology
Technology,"4,111",2018-01-01 20:01:43,ACIW,2018-01-01,Technical & System Software
Technology,814,2018-01-01 20:01:46,ACLS,2018-01-01,Semiconductor Equipment & Materials
Services,"87,000",2018-01-01 20:01:50,ACM,2018-01-01,Technical Services
Technology,"435,000",2018-01-01 20:01:53,ACN,2018-01-01,Information Technology Services
Financial,303,2018-01-01 20:01:56,ACNB,2018-01-01,Regional - Southwest  Banks
Healthcare,597,2018-01-01 20:02:00,ACOR,2018-01-01,Biotechnology
Technology,729,2018-01-01 20:02:04,ACTA,2018-01-01,Application Software
Services,27,2018-01-01 20:02:05,ACTG,2018-01-01,Business Services
Technology,"3,260",2018-01-01 20:02:06,ACXM,2018-01-01,Information Technology Services
Financial,24,2018-01-01 20:02:09,ADC,2018-01-01,Property Management
Industrial Goods,25,2018-01-01 20:02:11,ADES,2018-01-01,Pollution & Treatment Controls
Technology,"15,300",2018-01-01 20:02:13,ADI,2018-01-01,Semiconductor - Integrated Circuits
Consumer Goods,"31,800",2018-01-01 20:02:16,ADM,2018-01-01,Farm Products
Healthcare,84,2018-01-01 20:02:18,ADMS,2018-01-01,Drugs - Generic
Basic Materials,"85,000",2018-01-01 20:02:18,ADNT,2018-01-01,Industrial Metals & Minerals
Technology,"58,000",2018-01-01 20:02:20,ADP,2018-01-01,Business Software & Services
Healthcare,143,2018-01-01 20:02:21,ADRO,2018-01-01,Biotechnology
Services,"17,000",2018-01-01 20:02:23,ADS,2018-01-01,Business Services
Technology,"9,000",2018-01-01 20:02:24,ADSK,2018-01-01,Technical & System Software
Technology,"2,033",2018-01-01 20:02:29,ADTN,2018-01-01,Communication Equipment
Healthcare,"2,449",2018-01-01 20:02:30,ADUS,2018-01-01,Home Health Care
