Previous_Close,Days_Range,Timestamp,Market_Cap,Earnings_Date,Symbol,_52_Week_Range,EventDate,Volume,PE_Ratio_TTM,Beta,_1y_Target_Est,EPS_TTM,Forward_Dividend_and_Yield,Ask,Ex_Dividend_Date,Open,Bid,Avg_Volume
,70.50 - 71.86,2018-01-12 20:00:08,,"Feb 12, 2018",A,47.05 - 72.33,2018-01-12,,,,,,0.60 (0.84%),0.00 x 0,,,0.00 x 0,
56.91,56.11 - 57.50,2018-01-12 20:00:15,10.502B,"Jan 9, 2017",AA,29.55 - 57.50,2018-01-12,"4,216,639",36.88,N/A,57.00,1.54,N/A (N/A),0.00 x 0,N/A,57.05,0.00 x 0,"4,014,744"
9.30,9.16 - 9.48,2018-01-12 20:00:17,222.466M,"May 3, 2017",AAC,5.99 - 13.06,2018-01-12,"95,995",N/A,1.81,14.00,-0.06,N/A (N/A),0.00 x 0,N/A,9.28,0.00 x 0,"171,528"
56.42,56.56 - 58.73,2018-01-12 20:00:19,27.978B,"Jan 25, 2018",AAL,39.21 - 58.73,2018-01-12,"7,505,761",15.06,1.20,63.11,3.88,0.40 (0.74%),58.62 x 100,2017-11-10,56.56,58.23 x 400,"4,187,771"
41.12,40.90 - 41.57,2018-01-12 20:00:20,2.91B,"Feb 15, 2018",AAN,26.12 - 48.22,2018-01-12,"404,614",21.68,-0.53,48.14,1.90,0.12 (0.31%),0.00 x 0,2017-12-12,41.19,0.00 x 0,"952,601"
35.94,35.35 - 36.67,2018-01-12 20:00:22,694.852M,"Feb 21, 2018",AAOI,27.82 - 103.41,2018-01-12,"837,330",8.42,1.96,49.17,4.26,N/A (N/A),38.45 x 100,N/A,36.31,34.66 x 100,"1,791,331"
36.20,35.25 - 36.67,2018-01-12 20:00:23,1.918B,"May 3, 2017",AAON,29.95 - 38.25,2018-01-12,"223,710",38.47,0.80,36.50,0.95,0.26 (0.72%),0.00 x 0,2017-11-29,36.40,0.00 x 0,"158,630"
112.95,113.02 - 116.05,2018-01-12 20:00:24,8.563B,"Feb 20, 2018",AAP,78.81 - 177.50,2018-01-12,"1,579,194",24.34,0.64,110.58,4.76,0.24 (0.22%),0.00 x 0,2017-12-21,114.38,0.00 x 0,"1,850,296"
175.28,175.65 - 177.36,2018-01-12 20:00:26,900.867B,"Feb 1, 2018",AAPL,118.22 - 177.36,2018-01-12,"25,418,080",19.23,1.31,186.32,9.21,2.52 (1.45%),177.36 x 100,2017-11-10,176.18,177.26 x 400,"26,658,992"
36.38,35.86 - 36.34,2018-01-12 20:00:27,2.318B,"Feb 12, 2018",AAT,35.82 - 44.83,2018-01-12,"129,026",54.11,0.36,43.20,0.67,1.08 (2.97%),0.00 x 0,2017-12-06,36.34,0.00 x 0,"239,046"
61.35,60.90 - 62.25,2018-01-12 20:00:29,1.569B,"Feb 21, 2018",AAWW,45.45 - 68.70,2018-01-12,"518,912",36.80,2.04,73.44,1.69,N/A (N/A),0.00 x 0,N/A,61.55,0.00 x 0,"265,142"
62.28,61.66 - 62.91,2018-01-12 20:00:31,1.417B,"Jan 24, 2018",ABAX,43.66 - 62.98,2018-01-12,"235,965",52.47,1.30,51.38,1.19,0.64 (1.04%),0.00 x 0,2017-11-30,62.29,0.00 x 0,"138,900"
26.90,26.87 - 27.75,2018-01-12 20:00:31,1.458B,N/A,AAXN,20.57 - 28.17,2018-01-12,"572,787",106.41,1.18,30.17,0.26,N/A (N/A),29.99 x 100,N/A,26.99,27.45 x 300,"719,131"
99.27,98.66 - 100.64,2018-01-12 20:00:33,160.186B,"Jan 25, 2018",ABBV,59.27 - 101.28,2018-01-12,"4,372,638",24.37,1.39,101.30,4.12,2.84 (2.85%),0.00 x 0,2018-01-11,99.34,0.00 x 0,"5,175,433"
98.14,97.55 - 99.00,2018-01-12 20:00:35,21.59B,"Jan 29, 2018",ABC,71.90 - 99.00,2018-01-12,"1,469,349",60.37,0.95,98.29,1.64,1.52 (1.56%),0.00 x 0,2017-11-17,98.50,0.00 x 0,"1,950,788"
52.55,52.55 - 53.45,2018-01-12 20:00:37,1.988B,"Jan 26, 2018",ABCB,41.05 - 53.45,2018-01-12,"183,215",23.61,1.27,56.83,2.26,0.40 (0.78%),0.00 x 0,2017-12-28,52.70,0.00 x 0,"215,952"
6.32,6.31 - 6.79,2018-01-12 20:00:38,310.822M,"Nov 8, 2017",ABCD,4.55 - 7.30,2018-01-12,"215,435",18.00,-0.76,2.00,0.37,N/A (N/A),0.00 x 0,N/A,6.31,0.00 x 0,"69,817"
53.775,53.750 - 53.850,2018-01-12 20:00:40,2.194B,"Nov 8, 2017",ABCO,1.160 - 59.500,2018-01-12,"895,134",20.44,1.32,54.14,2.633,N/A (N/A),0.000 x 0,N/A,53.750,0.000 x 0,"507,218"
