Forward_Annual_Dividend_Yield,Market_Cap_intraday,Shares_Short,_200_Day_Moving_Average,Price_over_Sales,Enterprise_Value_over_Revenue,Total_Debt_over_Equity,SandP500_52_Week_Change,Gross_Profit,Forward_P_over_E,Forward_Annual_Dividend_Rate,Fiscal_Year_Ends,Enterprise_Value_over_EBITDA,Pcnt_Held_by_Insiders,EBITDA,_50_Day_Moving_Average,Trailing_Annual_Dividend_Yield,Timestamp,Symbol,Levered_Free_Cash_Flow,Short_Ratio,Profit_Margin,Quarterly_Earnings_Growth,Beta,Payout_Ratio,_5_Year_Average_Dividend_Yield,Trailing_P_over_E,Total_Debt,Price_over_Book,Revenue_Per_Share,Operating_Margin,Enterprise_Value,Quarterly_Revenue_Growth,PEG_Ratio_5_yr_expected,Dividend_Date,Operating_Cash_Flow,Pcnt_Held_by_Institutions,Book_Value_Per_Share,Current_Ratio,Last_Split_Factor_new_per_old,Return_on_Assets,Shares_Outstanding,Trailing_Annual_Dividend_Rate,Most_Recent_Quarter,Revenue,Float,Short_Pcnt_of_Float,Total_Cash,_52_Week_Low,Net_Income_Avi_to_Common,_52_Week_Change,_52_Week_High,Diluted_EPS,Return_on_Equity,Total_Cash_Per_Share,Ex_Dividend_Date,Avg_Vol_10_day,Avg_Vol_3_month,EventDate
0.84%,23.17B,N/A,65.04,5.18,5.03,41.59,22.03%,2.41B,25.08,0.6,"Oct 31, 2017",20.55,0.26%,1.1B,68.24,0.75%,2018-01-13 20:00:07,A,562.5M,0,15.30%,40.50%,1.59,25.14%,0.98,34.16,2.01B,4.78,13.89,19.75%,22.5B,7.00%,2.98,"Jan 24, 2018",889M,87.27%,15.00,3.30,1398/1000,6.80%,323.02M,0.53,"Oct 31, 2017",4.47B,322.28M,0.00%,2.68B,47.05,684M,46.52%,72.33,2.10,15.06%,8.29,"Dec 29, 2017",1.97M,1.8M,2018-01-13
N/A,10.5B,7.49M,43.37,0.95,0.98,17.26,22.03%,1.43B,14.98,N/A,"Dec 31, 2016",5.88,6.80%,1.84B,47.55,0.63%,2018-01-13 20:00:12,AA,2.24B,1.86,2.61%,N/A,N/A,N/A,N/A,36.88,1.4B,1.79,59.70,9.97%,10.84B,27.30%,-0.32,"Nov 25, 2016",1.01B,0.00%,31.68,1.38,1000/801,3.97%,185.02M,0.36,"Sep 30, 2017",11.02B,184.8M,4.07%,1.12B,29.55,288M,74.36%,57.50,1.54,5.64%,6.05,N/A,3.95M,4.03M,2018-01-13
N/A,222.47M,2.63M,8.76,0.82,1.59,145.32,22.03%,279.77M,17.49,N/A,"Dec 31, 2016",12.14,49.57%,35.68M,8.90,N/A,2018-01-13 20:00:15,AAC,-19.81M,13.36,-0.47%,N/A,1.81,N/A,N/A,N/A,227.22M,1.31,11.72,5.53%,433.28M,7.60%,0.86,N/A,12.86M,47.87%,7.07,3.28,N/A,2.35%,24M,N/A,"Sep 30, 2017",271.83M,10.41M,23.15%,16.41M,5.99,-1.28M,16.25%,13.06,-0.06,-3.99%,0.68,N/A,109.4k,170.06k,2018-01-13
0.71%,27.98B,26.36M,49.41,0.68,1.13,625.23,22.03%,30.3B,11.01,0.4,"Dec 31, 2016",6.91,42.17%,6.79B,51.54,0.71%,2018-01-13 20:00:17,AAL,-1.43B,6.07,4.71%,-15.30%,1.20,10.10%,N/A,15.06,24.68B,7.11,83.04,11.66%,46.89B,2.70%,2.11,"Nov 27, 2017",4.93B,6.86%,8.23,0.65,N/A,5.83%,478.5M,0.40,"Sep 30, 2017",41.39B,426.59M,6.27%,5.77B,39.21,1.95B,20.68%,58.73,3.88,46.77%,12.05,"Nov 10, 2017",5.63M,4.26M,2018-01-13
0.29%,2.91B,565k,40.52,0.88,0.96,23.68,22.03%,1.56B,13.18,0.12,"Dec 31, 2016",6.65,1.04%,474.86M,38.78,0.27%,2018-01-13 20:00:19,AAN,1.7B,6.15,4.15%,-14.00%,-0.53,5.79%,0.30,21.68,372.69M,1.85,46.37,12.20%,3.16B,9.10%,1.39,"Jan 2, 2018",183.93M,105.91%,22.24,1.36,3/2,9.76%,70.76M,0.11,"Sep 30, 2017",3.29B,69.69M,0.00%,126.25M,26.12,136.61M,28.42%,48.22,1.90,9.01%,1.78,"Dec 12, 2017",707.16k,951.8k,2018-01-13
N/A,694.85M,12.37M,56.16,1.79,1.72,12.64,22.03%,86.95M,10.30,N/A,"Dec 31, 2016",5.99,4.46%,111.07M,39.76,N/A,2018-01-13 20:00:21,AAOI,4.97M,5.1,21.29%,9.20%,1.96,N/A,N/A,8.42,41.01M,2.14,20.77,23.87%,664.89M,26.70%,0.44,N/A,86.23M,81.03%,16.76,2.99,N/A,15.10%,19.38M,N/A,"Sep 30, 2017",387.37M,18.44M,68.10%,70.97M,28.09,82.46M,18.07%,103.41,4.26,32.21%,3.66,N/A,1.22M,1.75M,2018-01-13
0.72%,1.92B,3.16M,34.83,4.88,4.78,N/A,22.03%,118.08M,27.69,0.26,"Dec 31, 2016",20.91,22.21%,89.82M,36.33,0.72%,2018-01-13 20:00:22,AAON,31.4M,25.44,12.77%,-6.20%,0.80,27.37%,0.76,38.47,N/A,8.33,7.46,19.17%,1.88B,8.70%,3.11,"Dec 21, 2017",58.78M,69.48%,4.39,2.71,3/2,16.80%,52.47M,0.26,"Sep 30, 2017",392.74M,40.59M,7.69%,39.9M,29.95,50.15M,11.73%,38.25,0.95,23.05%,0.76,"Nov 29, 2017",225.56k,159.16k,2018-01-13
0.21%,8.56B,100,98.00,0.91,0.98,32.33,22.03%,4.26B,18.73,0.24,"Dec 31, 2016",10.13,0.43%,912.97M,102.37,0.21%,2018-01-13 20:00:25,AAP,286.87M,0.11,3.75%,-15.70%,0.64,5.03%,0.19,24.34,1.04B,2.65,127.66,7.02%,9.25B,-3.00%,2.37,"Jan 5, 2018",474.85M,107.78%,43.74,1.52,3/2,4.90%,73.86M,0.24,"Oct 7, 2017",9.42B,73.5M,0.00%,363.3M,78.81,351.42M,-34.71%,177.50,4.76,11.61%,4.92,"Dec 21, 2017",1.48M,1.84M,2018-01-13
1.44%,900.87B,42.83M,161.52,3.93,4.15,86.30,22.03%,88.19B,14.54,2.52,"Sep 30, 2017",13.29,0.07%,71.5B,172.62,1.37%,2018-01-13 20:00:26,AAPL,38.77B,1.46,21.09%,18.90%,1.31,26.06%,1.86,19.23,115.68B,6.77,43.94,26.76%,950.52B,12.20%,1.43,"Nov 16, 2017",63.6B,61.76%,26.15,1.28,7/1,11.00%,5.09B,2.40,"Sep 30, 2017",229.23B,5B,0.82%,74.4B,118.22,48.35B,46.07%,177.36,9.21,36.87%,14.49,"Nov 10, 2017",23.2M,26.8M,2018-01-13
2.97%,2.32B,1.35M,39.56,7.59,9.58,156.17,22.03%,187.16M,57.21,1.08,"Dec 31, 2016",16.90,8.23%,173.11M,38.29,2.86%,2018-01-13 20:00:28,AAT,66.36M,4.61,10.11%,7.30%,0.36,155.22%,2.47,54.11,1.33B,2.03,6.59,31.10%,2.93B,8.50%,18.10,"Dec 21, 2017",145.7M,0.00%,17.75,3.35,N/A,2.78%,47.13M,1.04,"Sep 30, 2017",305.34M,41.68M,6.34%,97.83M,35.82,30.86M,-15.73%,44.83,0.67,5.15%,2.08,"Dec 6, 2017",129.22k,237.93k,2018-01-13
N/A,1.57B,2.54M,60.67,0.76,1.70,133.66,22.03%,1.04B,11.73,N/A,"Dec 31, 2016",8.19,1.95%,427.07M,58.05,N/A,2018-01-13 20:00:31,AAWW,-116.91M,8.21,2.06%,N/A,2.04,N/A,N/A,36.80,2.11B,1.00,81.76,11.86%,3.5B,19.60%,1.32,N/A,326.44M,112.04%,62.30,0.66,N/A,3.45%,25.28M,N/A,"Sep 30, 2017",2.06B,24.79M,11.65%,175.93M,45.45,43.62M,20.65%,68.70,1.69,2.85%,6.96,N/A,404.48k,271.19k,2018-01-13
N/A,1.46B,43k,23.95,4.40,4.22,N/A,22.03%,170.54M,98.43,N/A,"Dec 31, 2016",59.73,2.83%,23.38M,25.77,N/A,2018-01-13 20:00:33,AAXN,-5.45M,N/A,4.11%,-89.00%,1.18,N/A,N/A,106.41,N/A,8.77,6.30,5.07%,1.4B,25.60%,8.15,N/A,-9.87M,97.55%,3.14,1.89,2/1,3.62%,52.91M,N/A,"Sep 30, 2017",331.22M,51.56M,0.00%,61.84M,20.57,13.62M,8.38%,28.17,0.26,8.86%,1.17,N/A,472.19k,717.24k,2018-01-13
1.03%,1.42B,2.24M,48.35,6.21,5.56,0.12,22.03%,125.84M,45.58,0.64,"Mar 31, 2017",26.62,4.30%,47.66M,50.64,0.90%,2018-01-13 20:00:35,ABAX,40.66M,18.93,11.98%,-42.30%,1.30,47.06%,N/A,52.47,327k,5.11,10.10,17.49%,1.27B,0.50%,10.41,"Dec 15, 2017",40.8M,99.32%,12.21,6.34,N/A,8.20%,22.7M,0.56,"Sep 30, 2017",228.08M,21.72M,21.37%,148.75M,43.66,27.33M,29.56%,62.98,1.19,10.31%,6.55,"Nov 30, 2017",253.49k,141.08k,2018-01-13
2.86%,160.19B,15.15M,85.77,5.87,6.92,569.61,22.03%,19.8B,15.41,2.84,"Dec 31, 2016",15.85,0.07%,11.91B,97.40,2.58%,2018-01-13 20:00:37,ABBV,6.26B,2.3,24.38%,2.10%,1.39,60.44%,3.03,24.37,38.09B,23.95,17.03,38.31%,188.72B,8.80%,1.19,"Feb 15, 2018",8.92B,73.74%,4.19,1.45,N/A,9.64%,1.6B,2.56,"Sep 30, 2017",27.27B,1.6B,1.07%,9.55B,59.27,6.62B,60.48%,101.28,4.12,101.06%,5.99,"Jan 11, 2018",4.47M,5.17M,2018-01-13
1.55%,21.59B,10.62M,84.93,0.14,0.15,183.76,22.03%,4.55B,14.62,1.52,"Sep 30, 2017",9.39,26.31%,2.44B,90.58,1.49%,2018-01-13 20:00:39,ABC,1.55B,4.39,0.24%,N/A,0.95,89.02%,1.38,60.37,3.79B,10.45,701.29,1.32%,22.95B,4.20%,1.96,"Dec 4, 2017",1.5B,70.92%,9.47,0.91,2/1,3.66%,218.08M,1.46,"Sep 30, 2017",153.14B,160.62M,6.65%,2.44B,71.90,364.48M,14.13%,99.00,1.64,17.38%,11.17,"Nov 17, 2017",1.37M,1.96M,2018-01-13
0.76%,1.99B,1.3M,47.16,5.76,7.68,N/A,22.03%,N/A,15.43,0.4,"Dec 31, 2016",N/A,3.29%,N/A,49.12,0.76%,2018-01-13 20:00:41,ABCB,N/A,9.15,23.93%,-6.50%,1.27,17.70%,N/A,23.61,907.95M,2.48,9.52,36.65%,2.65B,8.40%,2.65,"Jan 10, 2018",-103.2M,83.65%,21.54,N/A,211/210,1.17%,37.23M,0.40,"Sep 30, 2017",345.12M,36.08M,4.06%,243.92M,41.05,82.58M,26.02%,53.45,2.26,11.43%,6.55,"Dec 28, 2017",280.79k,216.46k,2018-01-13
N/A,310.82M,63.54k,5.71,1.98,2.33,N/A,22.03%,104.09M,N/A,N/A,"Dec 31, 2016",12.07,69.70%,30.41M,5.77,N/A,2018-01-13 20:00:43,ABCD,22.25M,0.79,11.27%,69.20%,-0.76,N/A,N/A,18.00,69.69M,N/A,3.40,15.90%,367.02M,3.30%,N/A,N/A,48.29M,15.89%,-0.97,0.51,N/A,9.95%,46.67M,N/A,"Sep 30, 2017",157.34M,14.08M,0.46%,12.09M,4.55,17.74M,22.48%,7.30,0.37,N/A,0.26,N/A,96.33k,72.79k,2018-01-13
N/A,2.19B,1.83M,40.590,2.75,3.31,106.66,22.03%,410.47M,N/A,N/A,"Dec 31, 2016",21.92,1.51%,120.83M,1.186,N/A,2018-01-13 20:00:44,ABCO,108.79M,3.78,13.49%,96.80%,1.32,N/A,N/A,20.44,603.78M,3.87,19.84,9.41%,2.65B,1.00%,N/A,N/A,107.41M,102.40%,13.93,1.06,2/1,2.38%,40.76M,N/A,"Jun 30, 2017",799.15M,40.03M,4.59%,145.63M,1.160,107.81M,32.61%,59.500,2.633,21.74%,3.58,N/A,2.71k,498k,2018-01-13
N/A,734.37M,7.59M,13.60,836.41,772.04,N/A,22.03%,889k,-24.53,N/A,"Dec 31, 2016",-28.16,35.74%,-24.07M,16.02,N/A,2018-01-13 20:00:45,ABEO,-14.14M,6.58,0.00%,N/A,2.53,N/A,N/A,N/A,N/A,7.15,0.02,"-2,838.04%",677.85M,19.00%,N/A,N/A,-21M,50.61%,2.20,22.13,N/A,-18.37%,46.78M,N/A,"Sep 30, 2017",878k,27.86M,30.17%,56.52M,4.50,-25.87M,204.81%,22.75,-0.65,-33.74%,1.21,N/A,539.52k,904.88k,2018-01-13
0.00%,1.57B,1.85M,59.42,0.24,0.50,486.01,22.03%,1.06B,11.11,N/A,"Dec 31, 2016",10.05,9.09%,323.8M,66.50,N/A,2018-01-13 20:00:47,ABG,201.36M,7.35,2.54%,-5.20%,1.30,0.00%,N/A,9.74,1.69B,4.51,307.24,4.53%,3.25B,-4.80%,0.79,"Aug 22, 2008",234.2M,98.73%,16.68,1.25,2/1,7.94%,20.82M,N/A,"Sep 30, 2017",6.45B,17.07M,11.34%,2.8M,49.10,163.7M,15.65%,76.15,7.73,54.30%,0.14,"Jul 30, 2008",270.65k,256.07k,2018-01-13
1.75%,2.55B,1.79M,41.76,0.47,0.67,85.64,22.03%,5.45B,18.00,0.68,"Oct 31, 2017",18.48,1.30%,198.5M,40.26,1.75%,2018-01-13 20:00:49,ABM,3.65M,8.21,0.07%,N/A,0.46,50.75%,2.03,588.94,1.18B,1.85,94.52,2.35%,3.67B,13.30%,4.15,"Feb 5, 2018",5.6M,97.00%,21.00,1.63,2/1,2.63%,65.51M,0.68,"Oct 31, 2017",5.45B,60.56M,3.72%,62.8M,36.61,78.1M,-2.09%,45.12,0.07,6.65%,0.96,"Jan 3, 2018",457.18k,408.78k,2018-01-13
