Symbol,Name
AAL,American Airlines Gp
AAPL,Apple Inc
AEP,American Electric Power Company
AES,The Aes Corp
ALK,Alaska Air Group
AWK,American Water Works
AXP,American Express Company
BA,Boeing Company
CAR,Avis Budget Group I
CAT,Caterpillar Inc
CHRW,C.H. Robinson Ww
CNP,Centerpoint Energy Inc
CSCO,Cisco Systems Inc
CSX,CSX Corp
CVX,Chevron Corp
D,Dominion Resources
DAL,Delta Air Lines Inc
DIS,Walt Disney Company
DUK,Duke Energy Corp
DWDP,Dowdupont Inc.
ED,Consolidated Edison Company of New York
EIX,Edison International
EXC,Exelon Corp
EXPD,Expeditors Intl
FDX,Fedex Corp
FE,Firstenergy Corp
GE,General Electric Company
GS,Goldman Sachs Group
HD,Home Depot
IBM,International Business Machines
INTC,Intel Corp
JBHT,J B Hunt Transport
JBLU,Jetblue Airways Cp
JNJ,Johnson & Johnson
JPM,JP Morgan Chase & Co
KEX,Kirby Corp
KO,Coca-Cola Company
KSU,Kansas City Southern
LSTR,Landstar System
LUV,Southwest Airlines Company
MATX,Matson Inc
MCD,McDonald's Corp
MMM,3M Company
MRK,Merck & Company
MSFT,Microsoft Corp
NEE,Nextera Energy
NI,NiSource Inc
NKE,Nike Inc
NSC,Norfolk Southern Corp
PCG,Pacific Gas & Electric Co
PEG,Public Service Enterprise Group Inc
PFE,Pfizer Inc
PG,Procter & Gamble Company
R,Ryder System
SO,Southern Company
TRV,The Travelers Companies Inc
UAL,United Continental Holdings
UNH,Unitedhealth Group Inc
UNP,Union Pacific Corp
UPS,United Parcel Service
UTX,United Technologies Corp
V,Visa Inc
VZ,Verizon Communications Inc
WMT,Wal-Mart Stores
XOM,Exxon Mobil Corp
