Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAL,"American Airlines Gp",32.68,-0.41,-1.24%,33.2,32.22,6094369,"16:14 ET"
AAPL,"Apple Inc",192.74,-1.41,-0.73%,193.59,190.3,17656000,"16:19 ET"
ADBE,"Adobe Systems Inc",274.28,-2.02,-0.73%,277.1,274,2225946,"16:17 ET"
ADI,"Analog Devices",104.02,-1.76,-1.66%,104.41,102.78,2253235,"16:13 ET"
ADP,"Automatic Data Procs",165.54,1.09,+0.66%,166.36,164.07,1443395,"16:03 ET"
ADSK,"Autodesk Inc",158.16,-4.16,-2.56%,163,156.22,1463185,"16:11 ET"
ALGN,"Align Technology",305.7,-5.37,-1.73%,312.08,305.02,479411,"16:13 ET"
ALXN,"Alexion Pharm Inc",117.93,0.69,+0.59%,118.97,116.77,957215,"16:10 ET"
AMAT,"Applied Materials",41.23,-0.42,-1.01%,41.49,40.56,7519222,"16:13 ET"
AMD,"Adv Micro Devices",30.36,-1.03,-3.28%,30.96,30.02,69719719,"16:19 ET"
AMGN,"Amgen Inc",176.08,-0.63,-0.36%,177.9,175.55,1593881,"16:19 ET"
AMZN,"Amazon.com Inc",1869.67,-0.63,-0.03%,1876,1859,2768292,"16:19 ET"
ASML,"Asml Hldg NY Reg",192.02,-5.91,-2.99%,193.13,190.5,463114,"16:01 ET"
ATVI,"Activision Blizzard",45.62,-0.43,-0.93%,45.96,45.12,4581966,"16:13 ET"
AVGO,"Broadcom Ltd",265.93,-15.68,-5.57%,268.09,257.47,9905745,"16:19 ET"
BIDU,"Baidu Inc",113.08,-0.93,-0.82%,113.29,111.6,4295313,"16:19 ET"
BIIB,"Biogen Inc",227.67,-3.59,-1.55%,231.42,226.96,1448670,"16:13 ET"
BKNG,"Booking Holdings Inc",1775.5,-34.02,-1.88%,1811.68,1772.72,321796,"16:19 ET"
BMRN,"Biomarin Pharmaceuticals",80.84,-1.52,-1.85%,83.03,80.54,760509,"16:07 ET"
CDNS,"Cadence Design Sys",67.72,-0.38,-0.56%,68,67.08,1892311,"16:07 ET"
CELG,"Celgene Corp",96.51,0.07,+0.07%,97.15,96.2,3129326,"16:07 ET"
CERN,"Cerner Corp",72.23,-0.25,-0.34%,72.95,72.2,1669204,"16:11 ET"
CHKP,"Check Point Software",113.32,0.32,+0.28%,113.81,112.35,693396,"16:10 ET"
CHTR,"Charter Communicatio",392.08,2.36,+0.61%,393.2,386.66,689818,"16:01 ET"
CMCSA,"Comcast Corp A",42.31,0.62,+1.49%,42.49,41.69,19816313,"16:15 ET"
COST,"Costco Wholesale",260.15,0.44,+0.17%,261.2,258.91,1270518,"16:10 ET"
CSCO,"Cisco Systems Inc",54.75,-1.42,-2.53%,56.01,54.66,22183141,"16:19 ET"
CSX,"CSX Corp",77.17,-0.47,-0.61%,77.94,76.76,2790470,"16:17 ET"
CTAS,"Cintas Corp",236.37,0.41,+0.17%,237.45,235.15,333616,"16:11 ET"
CTRP,"Ctrip.com Intl Ltd",33.47,-1.07,-3.10%,34.3,33.25,4824427,"16:01 ET"
CTSH,"Cognizant Tech Sol",61.64,-0.7,-1.12%,62.22,61.02,5393005,"16:05 ET"
CTXS,"Citrix Systems Inc",96.79,0.04,+0.04%,97.04,96,1205791,"16:07 ET"
DLTR,"Dollar Tree Inc",110.31,1.65,+1.52%,111.12,108.93,3304489,"16:19 ET"
EA,"Electronic Arts Inc",92.73,-0.84,-0.90%,93.79,90.46,3281313,"16:07 ET"
EBAY,"Ebay Inc",38.91,-0.09,-0.23%,39.32,38.86,7358910,"16:09 ET"
EXPE,"Expedia Group Inc",126.81,1.18,+0.94%,127.84,124.92,1609362,"16:07 ET"
FAST,"Fastenal Company",31.65,-1.08,-3.30%,32.68,31.13,3518055,"16:11 ET"
FB,"Facebook Inc",181.33,3.86,+2.18%,181.84,180,16282012,"16:19 ET"
FISV,"Fiserv Inc",89.2,0.54,+0.61%,89.34,88.35,1789769,"16:13 ET"
FOX,"Fox Corp Cl B",34.96,0.02,+0.06%,35.16,34.56,2386223,"16:01 ET"
FOXA,"Fox Corp Cl A",35.24,-0.05,-0.14%,35.5,34.93,4353073,"16:06 ET"
GILD,"Gilead Sciences Inc",66.36,-0.63,-0.94%,66.98,66.2,5293493,"16:07 ET"
GOOG,"Alphabet Cl C",1085.35,-3.42,-0.31%,1092.69,1080.17,1099081,"16:19 ET"
GOOGL,"Alphabet Cl A",1086.3,-4.71,-0.43%,1094.76,1081.48,1201695,"16:19 ET"
HAS,"Hasbro Inc",107.46,-0.06,-0.06%,107.71,106.87,551327,"16:07 ET"
HSIC,"Henry Schein Inc",71.28,-0.11,-0.15%,71.75,70.75,650991,"16:07 ET"
IDXX,"Idexx Laboratories",267.74,0.58,+0.22%,268.85,266.06,283403,"16:07 ET"
ILMN,"Illumina Inc",344,2.72,+0.80%,344.36,340.43,736527,"16:13 ET"
INCY,"Incyte Corp",77.71,1.34,+1.75%,77.79,75.46,1210514,"16:13 ET"
INTC,"Intel Corp",46.19,-0.51,-1.09%,46.42,45.55,14431583,"16:19 ET"
INTU,"Intuit Inc",254.13,-3.06,-1.19%,257.34,253.95,1193303,"16:10 ET"
ISRG,"Intuitive Surg Inc",496.54,-9.06,-1.79%,505,491,635382,"16:07 ET"
JBHT,"J B Hunt Transport",90.85,0.79,+0.88%,91.21,88.73,1081950,"16:07 ET"
JD,"Jd.com Inc Ads",27.05,-0.49,-1.78%,27.12,26.64,9031938,"16:19 ET"
KHC,"Kraft Heinz CO",30.31,-0.1,-0.33%,30.53,29.98,11767381,"16:01 ET"
KLAC,"K L A-Tencor Corp",109.7,-1.24,-1.12%,110.39,107.69,1147002,"16:01 ET"
LBTYA,"Liberty Global Ord A",26.71,0.33,+1.25%,26.91,26.18,1352560,"16:01 ET"
LBTYK,"Liberty Global Ord C",25.92,0.29,+1.13%,26.14,25.46,1535843,"16:01 ET"
LRCX,"Lam Research Corp",176.8,-3.39,-1.88%,177.46,173.5,2130029,"16:13 ET"
LULU,"Lululemon Athletica",176.71,2.19,+1.25%,177.72,171.6,3598851,"16:18 ET"
MAR,"Marriot Int Cl A",133.68,0.06,+0.04%,134.03,132.17,866424,"16:01 ET"
MCHP,"Microchip Technology",83.19,-0.91,-1.08%,83.52,80.15,3363572,"16:13 ET"
MDLZ,"Mondelez Intl Inc",55.05,0.4,+0.73%,55.22,54.59,4682107,"16:12 ET"
MELI,"Mercadolibre Inc",616,-19.59,-3.08%,635.59,609.41,619291,"16:11 ET"
MNST,"Monster Beverage Cp",61.33,0.73,+1.20%,62.13,60.81,3727044,"16:11 ET"
MSFT,"Microsoft Corp",132.45,0.13,+0.10%,133.79,131.64,17392451,"16:19 ET"
MU,"Micron Technology",32.66,-0.72,-2.16%,32.84,32.24,19117725,"16:19 ET"
MXIM,"Maxim Integrated",56.05,-1.85,-3.20%,56.6,55.82,2109459,"16:01 ET"
MYL,"Mylan NV Ord Shs",17.02,-0.36,-2.07%,17.51,16.91,4316524,"16:15 ET"
