Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",32.68,-0.41,-1.24%,32.97,33.2,32.22,6094369,"16:14 ET"
AAON,"Aaon Inc",48.14,-0.84,-1.71%,48.81,49.33,48.12,70270,"16:01 ET"
AAPL,"Apple Inc",192.74,-1.41,-0.73%,191.54,193.59,190.3,17656000,"16:19 ET"
AAWW,"Atlas Air Ww",40.83,-1.27,-3.02%,42.07,42.43,40.39,159898,"16:07 ET"
AAXN,"Axon Inc",70.67,-0.44,-0.62%,70.66,71.48,70.61,1076536,"16:16 ET"
ABCB,"Ameris Bancorp",38.28,0.15,+0.39%,38.13,38.43,37.62,191353,"16:01 ET"
ABEO,"Abeona Therapeutics",5.17,-0.15,-2.82%,5.35,5.4,5.15,259622,"16:13 ET"
ABMD,"Abiomed Inc",250.96,-4.57,-1.79%,255.38,256.05,249.52,467968,"16:19 ET"
ACAD,"Acadia Pharmaceutica",24.26,-1.37,-5.35%,25.51,25.51,24.25,943939,"16:10 ET"
ACGL,"Arch Capital Grp Ltd",35.56,0.52,+1.48%,35.06,35.64,34.96,1701866,"16:15 ET"
ACHC,"Acadia Healthcr CO",33.03,-0.82,-2.42%,33.84,33.84,32.75,434041,"16:07 ET"
ACIA,"Acacia Communica",44.94,-1.65,-3.54%,46.34,46.34,44.82,594672,"16:11 ET"
ACIU,"AC Immune S.A.",5.88,0.17,+2.98%,5.69,6,5.55,134025,"16:10 ET"
ACIW,"Aci Worldwide Inc",32.41,-0.46,-1.40%,32.84,32.89,32.24,636896,"16:11 ET"
ACLS,"Axcelis Tech Inc",14.59,-0.54,-3.57%,14.87,14.97,14.59,265511,"16:07 ET"
ACOR,"Acorda Therapeutics",7.53,-0.07,-0.92%,7.57,7.89,7.48,721270,"16:10 ET"
ADBE,"Adobe Systems Inc",274.28,-2.02,-0.73%,275.91,277.1,274,2225946,"16:17 ET"
ADI,"Analog Devices",104.02,-1.76,-1.66%,103.44,104.41,102.78,2253235,"16:13 ET"
ADOM,"Adomani Inc",0.32,-0.07,-17.77%,0.37,0.37,0.32,1717877,"16:09 ET"
ADP,"Automatic Data Procs",165.54,1.09,+0.66%,164.47,166.36,164.07,1443395,"16:03 ET"
ADRO,"Aduro Biotech",1.79,-0.07,-3.76%,1.83,1.89,1.75,242085,"16:10 ET"
ADSK,"Autodesk Inc",158.16,-4.16,-2.56%,161.85,163,156.22,1463185,"16:11 ET"
ADTN,"Adtran Inc",16.2,-0.21,-1.28%,16.32,16.36,16.02,168127,"16:10 ET"
AEGN,"Aegion Corp",16.3,-0.02,-0.12%,16.32,16.58,16.16,196150,"16:07 ET"
AEIS,"Advanced Energy",51.4,-0.9,-1.72%,51.51,51.63,50.12,290894,"16:07 ET"
AERI,"Aerie Pharmaceuticals",31.72,-1.41,-4.26%,33,33.02,31.01,845224,"16:07 ET"
AGIO,"Agios Pharmaceuticals",48.05,-1.52,-3.07%,49.69,49.84,47.91,453658,"16:07 ET"
AGMH,"Agm Group Holdings Inc Cl A",13.57,-0.13,-0.93%,13.6,13.6,13,17992,"16:01 ET"
AGNC,"American Capital Age",16.88,0,0.00%,16.86,16.93,16.85,3215458,"16:19 ET"
AIMC,"Altra Indtl Mtn",35.6,-0.86,-2.36%,36.21,36.33,35.33,660413,"16:01 ET"
AIMT,"Aimmune Therap",20,-0.22,-1.09%,20.21,20.53,19.98,406277,"16:01 ET"
AKAM,"Akamai Technologies",78.62,-0.57,-0.72%,79.16,79.21,78.08,863104,"16:13 ET"
AKBA,"Akebia Therapeutics",4.1,-0.18,-4.21%,4.25,4.29,4.09,728901,"16:07 ET"
AKCA,"Akcea Therapeutics Inc",22.74,-0.14,-0.61%,22.82,23.8,22.7,126850,"16:01 ET"
ALDR,"Alder Biopharma",12.04,0.19,+1.60%,11.8,12.38,11.64,650984,"16:07 ET"
ALGN,"Align Technology",305.7,-5.37,-1.73%,312.08,312.08,305.02,479411,"16:13 ET"
