Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",194.15,-0.039999999999992,-0.02%,196.79,193.6,21276523,"16:15 ET"
ABBV,"Abbvie Inc",78.95,0.38,+0.48%,79.2,78.3,2909739,"16:06 ET"
ABT,"Abbott Laboratories",82.29,0.34,+0.41%,82.33,81.75,5216249,"16:08 ET"
ACN,"Accenture Plc",184.95,0.36,+0.20%,186.1,184.24,1256450,"16:06 ET"
ADBE,"Adobe Systems Inc",276.3,-0.53999999999996,-0.20%,278.96,275.92,1693005,"16:15 ET"
AGN,"Allergan Plc",121,-1.27,-1.04%,122.52,120.79,2311429,"16:06 ET"
AIG,"American International Group",53.2,0.24,+0.45%,53.44,52.64,3811076,"16:06 ET"
ALL,"Allstate Corp",101.1,0.49,+0.49%,101.25,100.37,1877657,"16:06 ET"
AMGN,"Amgen Inc",176.71,1.11,+0.63%,177.45,175.23,1639555,"16:06 ET"
AMZN,"Amazon.com Inc",1870.3,14.98,+0.81%,1883.09,1862.22,2770285,"16:15 ET"
AXP,"American Express Company",121.86,-0.17,-0.14%,122.7,121.42,2334069,"16:06 ET"
BA,"Boeing Company",348.86,1.83,+0.53%,349.06,344.1,2560874,"16:09 ET"
BAC,"Bank of America Corp",27.94,-0.01,-0.04%,28.16,27.81,33273898,"16:09 ET"
BIIB,"Biogen Inc",231.26,0.83,+0.36%,233.83,229.7,1044866,"16:09 ET"
BK,"Bank of New York Mellon Corp",44.53,0.43,+0.98%,44.74,44.11,2569708,"16:08 ET"
BKNG,"Booking Holdings Inc",1822.94,24.04,+1.34%,1839.34,1802.05,314343,"16:13 ET"
BLK,Blackrock,448.28,2.03,+0.45%,449.4,445.69,323089,"16:06 ET"
BMY,"Bristol-Myers Squibb Company",47.33,-0.3,-0.63%,47.74,46.97,9285013,"16:09 ET"
BRK.B,"Berkshire Hathaway Cl B",204.99,0.42,+0.21%,205.76,204.3,2244037,"16:08 ET"
C,"Citigroup Inc",67.08,0.27,+0.40%,67.43,66.76,9439130,"16:06 ET"
CAT,"Caterpillar Inc",127.17,0.07,+0.06%,128.4,126.76,3055595,"16:06 ET"
CELG,"Celgene Corp",96.44,-0.12,-0.12%,96.7,95.98,2557552,"16:08 ET"
CHTR,"Charter Communicatio",389.72,-1.44,-0.37%,392.91,387.9,651639,"16:06 ET"
CL,"Colgate-Palmolive Company",72.75,-0.3,-0.41%,73.2,71.99,2944123,"16:09 ET"
CMCSA,"Comcast Corp A",41.69,0.23999999999999,+0.58%,41.73,41.37,25491628,"16:15 ET"
COF,"Capital One Financial Corp",90.77,0.22,+0.24%,91.44,90.49,1293850,"16:06 ET"
COP,Conocophillips,59.06,0.51,+0.87%,59.62,58.85,5101430,"16:06 ET"
COST,"Costco Wholesale",259.71,2.48,+0.96%,260.04,257.55,1215230,"16:15 ET"
