Symbol,Name
AAN,Aaron's Inc
ABMD,Abiomed Inc
ACC,American Campus Communities Inc
ACHC,Acadia Healthcr Co
ACIW,Aci Worldwide Inc
ACM,Aecom Technology Corp
ACXM,Acxiom Cp
AEO,American Eagle Outfitters
AFG,American Financial Group
AGCO,Agco Corp
AHL,Aspen Insurance Holdings
AKRX,Akorn Inc
ALEX,Alexander and Baldwin Inc
AMCX,Amc Networks Cl A
AN,Autonation Inc
ARRS,Arris Group Inc
ARW,Arrow Electronics
ASB,Associated Banc-Corp
ASH,Ashland Global Holdings Inc
ATGE,Adtalem Global Education Inc
ATI,Allegheny Technologies Inc
ATO,Atmos Energy Corp
ATR,Aptargroup
AVP,Avon Products
AVT,Avnet Inc
BBBY,Bed Bath & Beyond
BC,Brunswick Corp
BCO,Brink's Company
BDC,Belden Inc
BID,Sotheby's Holdings
BIG,Big Lots
BIO,Bio-Rad Laboratories
BIVV,Bioverativ Inc
BKH,Black Hills Corp
BLKB,Blackbaud Inc
BMS,Bemis Company
BOH,Bank of Hawaii Corp
BR,Broadridge Financial Solutions Llc
BRCD,Brocade Comm Sys
BRO,Brown & Brown
BWLD,Buffalo Wild Wings
BXS,Bancorpsouth Inc
CAA,Calatlantic Group Inc
CABO,Cable One Inc
CAKE,Cheesecake Fact
CAR,Avis Budget Group I
CARS,Cars.Com Inc
CASY,Casey's General Stor
CATY,Cathay Genl Bncp
CBRL,Cracker Barrel
CBSH,Commerce Bancshares
CBT,Cabot Corp
CC,Chemours Company
CDK,Cdk Global Inc
CFR,Cullen/Frost Bankers
CGNX,Cognex Cp
CHDN,Churchill Downs In
CHFC,Chemical Financial
CIEN,Ciena Corp
CLB,Core Laboratories N.V.
CLGX,Corelogic
CLH,Clean Harbors
CLI,Mack-Cali Realty Corp
CMC,Commercial Metals Company
CMP,Compass Minerals Intl Inc
CNK,Cinemark Holdings Inc
CNO,Cno Financial Group
CNX,Consol Energy Inc
COHR,Coherent Inc
CONE,Cyrusone Inc
COR,Coresite Realty Corp
CPE,Callon Petroleum Company
CPRT,Copart Inc
CPT,Camden Property Trust
CR,Crane Company
CREE,Cree Inc
CRI,Carter's Inc
CRL,Charles River Laboratories Intl
CRS,Carpenter Technology Corp
CRUS,Cirrus Logic Inc
CSL,Carlisle Companies Inc
CTB,Cooper Tire & Rubber Company
CTLT,Catalent Inc
CUZ,Cousins Properties Inc
CVG,Convergys Corp
CVLT,Commvault Systems
CW,Curtiss-Wright Corp
CXW,Corecivic Inc
CY,Cypress Semiconductr
DAN,Dana Inc
DBD,Diebold Nixdorf Inc
DCI,Donaldson Company
DCT,Dct Industrial Trust Inc
DDD,3D Systems Corp
DDS,Dillard's
DECK,Deckers Outdoor Corp
DEI,Douglas Emmett
DF,Dean Foods Company
DKS,Dick's Sporting Goods Inc
DLX,Deluxe Corp
DNB,Dun & Bradstreet Corp
DNKN,Dunkin' Brands Group
DNOW,Now Inc
DO,Diamond Offshore Drilling
DPZ,Domino's Pizza Inc
DRQ,Dril-Quip
DST,Dst Systems
DY,Dycom Industries
EAT,Brinker International
EDR,Education Realty Trust Inc
EGN,Energen Corp
EME,Emcor Group
ENDP,Endo Int'l Plc
ENR,Energizer Holdings Inc
ENS,Enersys Inc
EPC,Edgewell Personal Care
EPR,Entertainment Properties Trust
ESL,Esterline Technologies Corp
ESV,Ensco Plc
EV,Eaton Vance Corp
EWBC,East West Bancorp
EXP,Eagle Materials Inc
FAF,First American Corp
FDS,Factset Research Systems Inc
FHN,First Tennessee National Corp
FICO,Fair Isaac and Company Inc
FII,Federated Investors
FLO,Flowers Foods
FNB,F.N.B. Corp
FR,First Industrial Realty Trust
FSLR,First Solar Inc
FTNT,Fortinet Inc
FTR,Frontier Commun Cp
FULT,Fulton Financial Cor
GATX,GATX Corp
GEF,Greif Bros. Corp
GEO,Geo Group Inc
GGG,Graco Inc
GHC,Graham Holdings Company
GME,Gamestop Corp
GMED,Globus Medical Inc
GNTX,Gentex Corp
GNW,Genworth Financial Inc
GPOR,Gulfport Energy Corp
GVA,Granite Construction Inc
GWR,Genesee & Wyoming
GXP,Great Plains Energy Inc
HAIN,Hain Celestial Grp
HBHC,Hancock Holding Co
HE,Hawaiian Electric Industries
HELE,Helen of Troy Ltd
HFC,Hollyfrontier Corp
HII,Huntington Ingalls Industries
HIW,Highwoods Properties
HLS,Healthsouth Corp
HNI,Hon Industries Inc
HOMB,Home Bancshares Inc
HPT,Hospitality Properites Trust
HR,Healthcare Realty Trust Inc
HRC,Hill-Rom Holdings Inc
HSNI,HSN Inc
HUBB,Hubbell Inc B
HYH,Halyard Health Inc
IBOC,Intl Bancshares
IDA,Idacorp Inc
IDCC,Interdigital Inc
IDTI,Integrated Devices
IEX,Idex Corp
ILG,Ilg Inc
INCR,Inc Research A
INGR,Ingredion Inc
INT,World Fuel Services Corp
IPGP,Ipg Photonics Corp
ISCA,Intl Speedway Cl A
ITT,ITT Industries
JACK,Jack In The Box Inc
JBGS,Jbg Smith Properties
JBL,Jabil Circuit
JBLU,Jetblue Airways Cp
JCOM,J2 Global Inc
JHG,Janus Henderson Group Plc.
JKHY,Jack Henry & Assoc
JLL,Jones Lang Lasalle Inc
JW.A,John Wiley Sons Cl A
KBH,KB Home
KBR,KBR Inc
KEX,Kirby Corp
KEYS,Keysight Technologies Inc Comm
KLXI,Klx Inc
KMPR,Kemper Corp
KMT,Kennametal Inc
KN,Knowles Corp
KNX,Knight-Swift Transporation Inc
KRC,Kilroy Realty Corp
LAMR,Lamar Advertis A
LANC,Lancaster Colony Cor
LDOS,Leidos Holdings Inc
LECO,Lincoln Elec Hldg
LFUS,Littelfuse Inc
LHO,Lasalle Hotel Properties
LII,Lennox International
LIVN,Livanova Plc Or Sh
LM,Legg Mason Inc
LNCE,Snyders-Lance Inc
LOGM,Logmein Inc
LPNT,Lifepoint Health
LPT,Liberty Property Trust
LPX,Louisiana-Pacific Corp
LSI,Life Storage
LSTR,Landstar System
LW,Lamb Weston Holdings Inc
LYV,Live Nation Entertainment
MAN,Manpower Inc
MANH,Manhattan Assoc
MASI,Masimo Corp
MBFI,MB Financial Inc
MCY,Mercury General Corp
MD,Mednax Inc
MDP,Meredith Corp
MDRX,Allscripts Hlthcare
MDSO,Medidata Solutions
MDU,Mdu Res Group Inc
MIK,The Michaels Comp
MKTX,Marketaxess Holdings
MLHR,Miller Herman Inc
MMS,Maximus Inc
MNK,Mallinckrodt Plc Ordinary Share
MOH,Molina Healthcare Inc
MPW,Medical Properties Trust
MPWR,Monolithic Power Sys
MSA,Msa Safety Inc
MSCC,Microsemi Corp
MSCI,MSCI Inc
MSM,Msc Industrial Direct Company
MTDR,Matador Resources Company
MTX,Minerals Technologies Inc
MUR,Murphy Oil Corp
MUSA,Murphy USA Inc
NATI,Natl Instruments Cor
NBR,Nabors Industries
NCR,NCR Corp
NDSN,Nordson Corp
NEU,Newmarket Corp
NFG,National Fuel Gas Company
NJR,Newjersey Resources Corp
NNN,National Retail Properties
NTCT,Netscout Systems I
NUS,Nu Skin Enterprises
NUVA,Nuvasive Inc
NVR,NVR Inc
NWE,Northwestern Corp
NYCB,New York Community Bancorp
NYT,New York Times Company
OA,Orbital Atk Inc
ODFL,Old Dominion Freig
ODP,Office Depot
OFC,Corporate Office Properties
OGE,Oge Energy Corp
OGS,One Gas Inc
OHI,Omega Healthcare Investors
OI,Owens-Illinois
OII,Oceaneering International
OLN,Olin Corp
OMI,Owens & Minor
ORI,Old Republic International Corp
OSK,Oshkosh Truck Corp
OZRK,Bank of The Ozarks
PACW,Pacwest Bancorp
PAY,Verifone Systems
PB,Prosperity Bancshares
PBF,PBF Energy Inc
PBH,Prestige Brand Holdings
PBI,Pitney Bowes Inc
PCH,Potlatch Cp
PII,Polaris Industries Inc
PLT,Plantronics
PNFP,Pinnacle Finl Ptnrs
PNM,PNM Resources Inc
POL,Polyone Corp
POOL,Pool Corp
POST,Post Holdings Inc
PRI,Primerica Inc
PTC,Ptc Inc
PTEN,Patterson-Uti Energy
PZZA,Papa John's Intl
QCP,Quality Care Properties Inc
QEP,Qep Resources
R,Ryder System
RBC,Regal-Beloit Corp
RDC,Rowan Companies
RGA,Reinsurance Group of America Inc
RGLD,Royal Gold Inc
RIG,Transocean Inc
RNR,Renaissancere Holdings Ltd
ROL,Rollins Inc
RPM,RPM International Inc
RS,Reliance Steel & Aluminum Company
RYN,Rayonier Inc REIT
SABR,Sabre Corp
SAFM,Sanderson Farms In
SAIC,Science Applications Internatio
SAM,Boston Beer Company
SBH,Sally Beauty Holdings
SBNY,Signature Bank
SBRA,Sabra REIT
SCI,Service Corporation International
SEIC,Sei Investments Co
SF,Stifel Financial Corp
SFM,Sprouts Farmers Mark
SIVB,Svb Financial Grp
SIX,Six Flags Entertainment Corp
SKT,Tanger Factory Outlet Centers
SKX,Skechers U.S.A.
SLAB,Silicon Labs Inc
SLGN,Silgan Holdings
SLM,SLM Corp
SM,Sm Energy Company
SMG,Scotts Miracle-Gro Company
SNH,Senior Housing Properties Trust
SNV,Synovus Financial Corp
SNX,Synnex Corp
SON,Sonoco Products Company
SPN,Superior Energy Services
STE,Steris Corp
STL,Sterling Bancorp
STLD,Steel Dynamics Inc
SWN,Southwestern Energy Company
SWX,Southwest Gas Corp
SXT,Sensient Technologies Corp
SYNA,Synaptics Inc
TCBI,Texas Capital Bncsh
TCF,TCF Financial Corp
TCO,Taubman Centers
TDC,Teradata Corp
TDS,Telephone and Data Systems
TDY,Teledyne Technologies Inc
TECD,Tech Data Cp
TECH,Bio-Techne Cp
TER,Teradyne Inc
TEX,Terex Corp
TFX,Teleflex Inc
TGNA,Tegna Inc
THC,Tenet Healthcare Corp
THG,The Hanover Insurance Group
THO,Thor Industries
THS,Treehouse Foods
TKR,Timken Company
TOL,Toll Brothers Inc
TPH,Tri Pointe Homes Inc
TPX,Tempur-Pedic International Inc
TR,Tootsie Roll Industries
TRMB,Trimble Navigation
TRMK,Trustmark Corp
TRN,Trinity Industries
TTC,Toro Company
TTWO,Take-Two Interacti
TUP,Tupperware Corp
TXRH,Texas Roadhouse Inc
TYL,Tyler Technologies
UBSI,United Bkshs Inc
UE,Urban Edge Properties
UFS,Domtar Corp
UGI,Ugi Corp
ULTI,Ultimate Software
UMBF,Ump Financial Corp
UMPQ,Umpqua Holdings Corp
UNFI,United Nat Foods I
UNIT,Uniti Group Inc
URBN,Urban Outfitters Inc
UTHR,United Therapeutic
VLY,Valley National Bancorp
VMI,Valmont Industries
VSAT,Viasat Inc
VSH,Vishay Intertechnology
VSM,Versum Materials Inc
VVC,Vectren Corp
VVV,Valvoline Inc
WAB,Wabtec Corp
WAFD,Washington Federal
WBS,Webster Financial Corp
WCG,Wellcare Group
WEN,Wendys Company
WERN,Werner Enterprise
WEX,Wex Inc
WGL,WGL Holdings Inc
WOR,Worthington Industries
WPG,Washington Prime Group Inc
WPX,Wpx Energy Inc
WR,Westar Energy
WRB,W.R. Berkley Corp
WRI,Weingarten Realty Investors
WSM,Williams-Sonoma
WSO,Watsco Inc
WST,West Pharmaceutical Services
WTFC,Wintrust Finl Corp
WTR,Aqua America
WWD,Woodward Inc
X,United States Steel Corp
Y,Alleghany Corp
ZBRA,Zebra Technologies
