Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAN,"Aaron's Inc",61.07,0.92,+1.53%,61.07,59.6,1123107,"16:06 ET"
ACC,"American Campus Communities Inc",47.45,0.29000000000001,+0.61%,47.46,47.03,571345,"16:02 ET"
ACHC,"Acadia Healthcr CO",33.85,0.07,+0.21%,34.24,33.62,718192,"16:06 ET"
ACIW,"Aci Worldwide Inc",32.87,0.09,+0.27%,32.92,32.68,507334,"16:01 ET"
ACM,"Aecom Technology Corp",33.42,0.22,+0.66%,33.57,33.26,824999,"16:02 ET"
ADNT,"Adient Plc",21.05,0.34,+1.64%,21.23,20.15,1708048,"16:02 ET"
AEO,"American Eagle Outfitters",17.07,0.47,+2.83%,17.19,16.31,9078510,"16:13 ET"
AFG,"American Financial Group",104.24,2.37,+2.33%,104.26,101.97,541984,"16:02 ET"
AGCO,"Agco Corp",72.33,0.94,+1.32%,72.69,71.18,690127,"16:02 ET"
ALE,"Allete Inc",84.73,0.049999999999997,+0.06%,85,84.06,123445,"16:02 ET"
ALEX,"Alexander and Baldwin Inc",23.63,0.09,+0.38%,23.84,23.49,329927,"16:02 ET"
AMCX,"Amc Networks Cl A",55.3,0.88,+1.62%,55.41,54.1,417797,"16:09 ET"
AMED,"Amedisys Inc",118.65,0.61,+0.52%,119.02,117.3,286160,"16:06 ET"
AN,"Autonation Inc",41.23,0.83,+2.05%,41.24,40.27,478919,"16:13 ET"
APY,"Apergy Corp",32.05,1.45,+4.74%,32.35,30.91,706327,"16:01 ET"
ARW,"Arrow Electronics",69.16,0.72,+1.05%,69.39,68.4,429927,"16:02 ET"
ASB,"Associated Banc-Corp",21.03,0.04,+0.19%,21.2,20.94,524554,"16:01 ET"
ASGN,"On Assignment",57.46,0.9,+1.59%,57.51,56.55,228388,"16:02 ET"
ASH,"Ashland Global Holdings Inc",80.09,0.67,+0.84%,81.22,79.75,1020081,"16:09 ET"
ATGE,"Adtalem Global Education Inc",44.25,0.07,+0.16%,44.47,44.03,326329,"16:02 ET"
ATI,"Allegheny Technologies Inc",24.32,0.34,+1.42%,24.32,23.84,626371,"16:02 ET"
ATR,Aptargroup,120.72,-0.90000000000001,-0.74%,122.1,120.31,166542,"16:02 ET"
AVNS,"Avanos Medical Inc",43.64,0.83,+1.94%,43.64,42.55,237042,"16:02 ET"
AVT,"Avnet Inc",44.42,0.08,+0.18%,44.85,43.99,428440,"16:06 ET"
AYI,"Acuity Brands Inc",135.51,1.88,+1.41%,135.96,132.57,198569,"16:09 ET"
BBBY,"Bed Bath & Beyond",12.29,0.09,+0.74%,12.38,12.02,4271668,"16:07 ET"
BC,"Brunswick Corp",44.59,0.5,+1.13%,45.14,44.12,1098779,"16:01 ET"
BCO,"Brink's Company",83.17,1.04,+1.27%,83.46,81.63,330369,"16:05 ET"
BDC,"Belden Inc",59.24,1.6,+2.78%,59.25,57.94,210791,"16:02 ET"
BHF,"Brighthouse Financial Inc",38.46,0.04,+0.10%,38.94,38.18,1274891,"16:09 ET"
BID,"Sotheby's Holdings",35.38,0.31,+0.88%,35.7,35.11,200079,"16:01 ET"
BIO,"Bio-Rad Laboratories",298.74,1.43,+0.48%,298.91,296.26,232791,"16:01 ET"
BKH,"Black Hills Corp",77.7,0.12,+0.15%,78.09,76.99,194138,"16:03 ET"
BLKB,"Blackbaud Inc",80.2,1.02,+1.29%,80.54,79.6,132861,"16:03 ET"
BMS,"Bemis Company",57.25,-0.83,-1.43%,58.88,57.11,9399900,06/10/19
BOH,"Bank of Hawaii Corp",80.42,0.43000000000001,+0.54%,80.86,80.04,135321,"16:02 ET"
BRO,"Brown & Brown",32.69,-0.16,-0.49%,32.98,32.47,604534,"16:02 ET"
BRX,"Brixmor Property Group Inc",18.22,0.31,+1.73%,18.24,17.89,2387405,"16:01 ET"
BXS,"Bancorpsouth Inc",28.27,0.12,+0.43%,28.54,28.14,355882,"16:02 ET"
BYD,"Boyd Gaming Corp",26.43,0.4,+1.54%,26.51,26.06,695042,"16:09 ET"
CABO,"Cable One Inc",1143.79,-19.13,-1.64%,1165.95,1137.26,63777,"16:01 ET"
CACI,"Caci International",203.99,0.22,+0.11%,206.75,203.31,227403,"16:03 ET"
CAKE,"Cheesecake Fact",45.55,0.21,+0.46%,46,45.22,711000,"16:03 ET"
CAR,"Avis Budget Group",32.66,1.98,+6.45%,33.11,30.33,2840309,"16:07 ET"
CARS,"Cars.com Inc",21.46,0.62,+2.98%,21.47,20.75,630056,"16:02 ET"
CASY,"Casey's General Stor",152.29,2.4,+1.60%,153.54,150.72,484845,"16:13 ET"
CATY,"Cathay Genl Bncp",34.72,0.13,+0.38%,35.01,34.38,257545,"16:01 ET"
CBRL,"Cracker Barrel",166.83,2.05,+1.24%,168.42,165.02,288787,"16:03 ET"
CBSH,"Commerce Bancshares",58.96,0.06,+0.10%,59.48,58.63,242403,"16:01 ET"
CBT,"Cabot Corp",46.94,0.11,+0.23%,47.62,46.77,377575,"16:02 ET"
CC,"Chemours Company",24.27,0.69,+2.93%,24.29,23.58,1167291,"16:02 ET"
CDK,"Cdk Global Inc",49.16,0,0.00%,49.52,48.84,395822,"16:06 ET"
CFR,"Cullen/Frost Bankers",92.96,0.14,+0.15%,94.25,92.71,145877,"16:02 ET"
CFX,"Colfax Corp",25.97,-0.1,-0.38%,26.54,25.83,2203088,"16:03 ET"
CGNX,"Cognex Cp",44.97,0.27,+0.60%,45.13,44.32,909486,"16:07 ET"
CHDN,"Churchill Downs IN",114.02,-0.37,-0.32%,115.64,113.25,183434,"16:01 ET"
CHE,"Chemed Inc",346.49,-1.05,-0.30%,349.19,344.21,50750,"16:02 ET"
CHFC,"Chemical Financial",39.14,0.42,+1.08%,39.37,38.71,390988,"16:04 ET"
CHK,"Chesapeake Energy Corp",1.83,0.07,+3.98%,1.86,1.75,54861301,"16:09 ET"
CIEN,"Ciena Corp",42.47,-0.54,-1.26%,43.25,42.37,2926146,"16:02 ET"
CLB,"Core Laboratories N.V.",49.6,1.18,+2.44%,49.79,48.63,669838,"16:02 ET"
CLGX,Corelogic,43.11,-0.29,-0.67%,43.69,42.96,371940,"16:02 ET"
CLH,"Clean Harbors",66.88,-0.26000000000001,-0.39%,67.64,66.44,117915,"16:02 ET"
CLI,"Mack-Cali Realty Corp",24.47,0.32,+1.33%,24.88,24.2,837219,"16:02 ET"
CMC,"Commercial Metals Company",15.2,0.36,+2.43%,15.36,14.62,1805336,"16:02 ET"
CMD,"Cantel Medical",75.59,0.27000000000001,+0.36%,75.86,74.71,231916,"16:02 ET"
CMP,"Compass Minerals Intl Inc",56.67,0.45,+0.80%,57.38,56.3,203654,"16:02 ET"
CNK,"Cinemark Holdings Inc",38.25,0.25,+0.66%,38.45,37.77,890045,"16:02 ET"
CNO,"Cno Financial Group",16.13,0.07,+0.44%,16.28,16.08,1117281,"16:02 ET"
CNX,"CNX Resources Corp",7.28,0.35,+5.05%,7.28,7.02,3708493,"16:02 ET"
COHR,"Coherent Inc",122.58,2.87,+2.40%,122.99,120.02,177890,"16:06 ET"
CONE,"Cyrusone Inc",58.68,-1.22,-2.04%,61.66,58,1088215,"16:07 ET"
COR,"Coresite Realty Corp",115.18,-0.25999999999999,-0.23%,116.02,114.39,275077,"16:02 ET"
CPE,"Callon Petroleum Company",6.19,0.02,+0.32%,6.33,6,9533418,"16:02 ET"
CPT,"Camden Property Trust",106.28,-0.039999999999992,-0.04%,106.7,105.72,375161,"16:02 ET"
CR,"Crane Company",81.43,1.12,+1.39%,82.19,80.39,260759,"16:02 ET"
CREE,"Cree Inc",57.95,1.13,+1.99%,58.12,56.88,977521,"16:06 ET"
CRI,"Carter's Inc",95.71,-0.040000000000006,-0.04%,97.24,94.85,665383,"16:02 ET"
