Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",8.94,-0.11,-1.22%,9.18,8.91,391778,"16:01 ET"
AAON,"Aaon Inc",48.98,1.17,+2.45%,49.04,47.99,79953,"16:01 ET"
AAT,"American Assets Trust",46.18,1.07,+2.37%,46.23,45.15,1172284,"16:02 ET"
AAWW,"Atlas Air Ww",42.1,1.52,+3.75%,42.11,40.81,217715,"16:07 ET"
AAXN,"Axon Inc",71.11,0.76,+1.08%,71.13,70.36,720489,"16:07 ET"
ABCB,"Ameris Bancorp",38.13,0.38,+1.01%,38.18,37.5,243954,"16:01 ET"
ABG,"Asbury Automotive Group Inc",80.36,1.15,+1.45%,80.37,78.66,100290,"16:13 ET"
ABM,"ABM Industries Incorporated",39.81,-0.02,-0.05%,40.16,39.78,476158,"16:03 ET"
ACA,"Arcosa Inc",37,1.02,+2.83%,37.09,36.02,516805,"16:01 ET"
ACLS,"Axcelis Tech Inc",15.13,0.39,+2.65%,15.21,14.45,312272,"16:06 ET"
ACOR,"Acorda Therapeutics",7.6,0.49,+6.89%,7.65,7.14,898592,"16:07 ET"
ADC,"Agree Realty Corp",67.2,0.21000000000001,+0.31%,67.27,66.51,234648,"16:02 ET"
ADTN,"Adtran Inc",16.41,0.3,+1.86%,16.53,16.13,391255,"16:01 ET"
ADUS,"Addus Homecare Corp",72.22,2.17,+3.10%,73.64,71,141612,"16:01 ET"
AEGN,"Aegion Corp",16.32,1.12,+7.37%,16.51,15.18,218284,"16:01 ET"
AEIS,"Advanced Energy",52.3,-0.09,-0.17%,53.31,51.88,297918,"16:01 ET"
AEL,"American Equity Investment Life",27.39,0.59,+2.20%,27.56,26.88,630164,"16:03 ET"
AGYS,"Agilysys Inc",22.39,0.12,+0.54%,22.55,22.23,51450,"16:03 ET"
AHH,"Armada Hoffler Properties Inc",17.06,0.12,+0.71%,17.14,16.93,281916,"16:02 ET"
AIN,"Albany International Corp",76.96,1.45,+1.92%,77.2,75.7,131548,"16:02 ET"
AIR,"AAR Corp",33.93,0.52,+1.56%,33.96,33.17,159019,"16:02 ET"
AIT,"Applied Industrial Technologies",57.52,0.4,+0.70%,57.75,56.93,298673,"16:03 ET"
AJRD,"Aerojet Rocketdyne Holdings",41.56,0.61,+1.49%,41.74,40.79,545696,"16:02 ET"
AKR,"Acadia Realty Trust",28.19,0.34,+1.22%,28.2,27.86,583089,"16:02 ET"
AKRX,"Akorn Inc",4.36,0.27,+6.60%,4.38,4.06,1114918,"16:07 ET"
AKS,"AK Steel Holding Corp",2.15,0.09,+4.37%,2.15,2.06,5106297,"16:08 ET"
ALG,"Alamo Group",98.96,1.36,+1.39%,99.09,97.67,31171,"16:02 ET"
ALGT,"Allegiant Travel Com",145.97,2.08,+1.45%,148.69,143.46,168325,"16:01 ET"
ALRM,Alarm.com,55.15,0.23,+0.42%,55.84,54.18,435895,"16:06 ET"
AMAG,"Amag Pharmaceuticals",9.29,0.04,+0.43%,9.36,9.02,856743,"16:06 ET"
AMBC,"Ambac Financial Group",15.18,0.64,+4.40%,15.22,14.56,458301,"16:07 ET"
AMN,"Amn Healthcare Services Inc",52.17,0.5,+0.97%,52.53,51.38,212782,"16:02 ET"
AMPH,"Amphastar Pharma",20,-0.03,-0.15%,20.14,19.72,127133,"16:03 ET"
AMSF,"Amerisafe Inc",60.8,0.68,+1.13%,61.24,59.83,39879,"16:01 ET"
AMWD,"Amer Woodmark Cp",80.5,1.15,+1.45%,81.15,79.32,133673,"16:01 ET"
ANDE,"Andersons Inc",27.46,0.44,+1.63%,27.62,27.11,101093,"16:01 ET"
ANF,"Abercrombie & Fitch Company",15.35,0.12,+0.79%,15.61,14.66,5492326,"16:13 ET"
ANGO,"Angiodynamics Inc",19.58,0.15,+0.77%,19.66,19.22,147790,"16:01 ET"
ANIK,"Anika Therapeutics",40.38,-0.1,-0.25%,40.82,39.7,128185,"16:01 ET"
ANIP,"ANI Pharma Inc",71.25,0.42,+0.59%,72.25,70.91,99677,"16:03 ET"
APEI,"American Pub. Edu.",29.18,0.18,+0.62%,29.46,28.93,50099,"16:02 ET"
APOG,"Apogee Entrpr Inc",38.87,0.82,+2.16%,38.97,38.1,278531,"16:01 ET"
ARCB,"Arcbest Corp",27.38,0.67,+2.51%,27.79,26.8,303972,"16:07 ET"
ARI,"Apollo Commercial Real Estate",18.74,0.059999999999999,+0.32%,18.82,18.69,1466338,"16:02 ET"
ARLO,"Arlo Technologies Inc",3.75,0.12,+3.31%,3.78,3.61,444658,"16:07 ET"
AROC,"Archrock Inc",9.4,0.3,+3.30%,9.45,9.17,532945,"16:02 ET"
ARR,"Armour Residential R",18.51,0.13,+0.71%,18.6,18.42,689854,"16:01 ET"
ARWR,"Arrowhead Pharma",26.13,-0.24,-0.91%,26.75,25.86,1729607,"16:06 ET"
ASIX,"Advansix Inc",26.83,0.74,+2.84%,27.01,26.31,89228,"16:03 ET"
ASNA,"Ascena Retail Group",0.84,-0.04,-4.55%,0.89,0.82,3318632,"16:13 ET"
ASRT,"Assertio Therapeutics Inc",3.32,0.15,+4.73%,3.36,3.15,503998,"16:05 ET"
ASTE,"Astec Inds Inc",30.67,0.19,+0.62%,30.88,30.43,75320,"16:01 ET"
ATNI,"Atn International",62.21,-1.97,-3.07%,65.64,62.12,68000,"16:07 ET"
ATU,"Actuant Corp",24.23,0.38,+1.59%,24.39,24.03,112429,"16:01 ET"
AVA,"Avista Corp",43.93,-0.32,-0.72%,44.61,43.86,621638,"16:03 ET"
AVAV,"Aerovironment Inc",63.62,1.19,+1.91%,63.66,62.24,209665,"16:01 ET"
AVD,"American Vanguard Corp",14.06,0.17,+1.22%,14.14,13.69,52678,"16:02 ET"
AVP,"Avon Products",3.89,0.06,+1.57%,3.92,3.84,7242227,"16:01 ET"
AWR,"American States Water Company",74.48,-0.53,-0.71%,75.71,74.17,125703,"16:03 ET"
AX,"Axos Financial Inc",28.42,0.15,+0.53%,28.77,28.24,175853,"16:05 ET"
AXE,"Anixter International Inc",57.49,0.49,+0.86%,57.58,56.88,122818,"16:03 ET"
AXL,"American Axle & Manufacturing",11.67,0.14,+1.21%,11.77,11.47,777940,"16:02 ET"
AZZ,"Azz Inc",43.98,0.52,+1.20%,44.15,43.42,114500,"16:03 ET"
B,"Barnes Group",56.23,0.86,+1.55%,56.46,55.36,248887,"16:02 ET"
BABY,"Natus Medical Inc",24.59,-0.06,-0.24%,24.85,24.34,130482,"16:01 ET"
BANC,"First Pactrust Bancorp",13.95,0.2,+1.45%,14.06,13.8,177281,"16:02 ET"
BANR,"Banner Corp",52.43,0.32,+0.61%,52.87,52.21,116585,"16:01 ET"
BCC,"Boise Cascade L.L.C.",25.18,0.43,+1.74%,25.2,24.66,173038,"16:02 ET"
BCEI,"Bonanza Creek Energy Inc",18.39,0.28,+1.55%,18.77,18.06,152090,"16:02 ET"
BCOR,"Blucora Inc",31.7,0,0.00%,32.1,31.54,213380,"16:01 ET"
BCPC,"Balchem Cp",97.8,-0.34,-0.35%,98.96,97.54,74642,"16:01 ET"
BEAT,"Biotelemetry Inc",49.85,0.06,+0.12%,50.49,49.64,268704,"16:07 ET"
BELFB,"Bel Fuse Inc Cl B",18.23,0.92,+5.31%,18.64,17.45,29064,"16:02 ET"
BFS,"Saul Centers",58.06,0.88,+1.54%,58.06,57.25,36235,"16:02 ET"
BGG,"Briggs & Stratton Corp",10.25,0.24,+2.40%,10.26,10.05,244766,"16:02 ET"
BGS,"B&G Foods Holdings",22.97,0.2,+0.88%,23.05,22.6,502831,"16:02 ET"
BHE,"Benchmark Electronics",23.87,0.39,+1.66%,23.9,23.53,219788,"16:02 ET"
