Symbol,Name,DowComposite,Nasdaq100,Russell1000,Russell2000,S&P100,S&P500,S&P400,S&P600,WatchList,Sector,Full_Time_Employees,Industry,Previous_Close,Days_Range,Market_Cap,Earnings_Date,_52_Week_Range,Volume,PE_Ratio_TTM,Beta,_1y_Target_Est,EPS_TTM,Forward_Dividend_and_Yield,Ex_Dividend_Date,Open,Avg_Volume
A,Agilent Technologies,0,0,1,0,0,1,0,0,0,Healthcare,"13,500",Medical Laboratories & Research,,70.50 - 71.86,,"Feb 12, 2018",47.05 - 72.33,,,,,,0.60 (0.84%),,,
AA,Alcoa Corp,0,0,1,0,0,0,0,0,0,Basic Materials,"14,000",Aluminum,56.91,56.11 - 57.50,10.502B,"Jan 9, 2017",29.55 - 57.50,"4,216,639",36.88,,57.00,1.54,N/A (N/A),,57.05,"4,014,744"
AAC,Aac Holdings Inc,0,0,0,1,0,0,0,0,0,Healthcare,"2,000",Specialized Health Services,9.30,9.16 - 9.48,222.466M,"May 3, 2017",5.99 - 13.06,"95,995",,1.81,14.00,-0.06,N/A (N/A),,9.28,"171,528"
AAL,American Airlines Gp,1,1,1,0,0,1,0,0,0,Services,"127,600",Major Airlines,56.42,56.56 - 58.73,27.978B,"Jan 25, 2018",39.21 - 58.73,"7,505,761",15.06,1.2,63.11,3.88,0.40 (0.74%),2017-11-10,56.56,"4,187,771"
AAN,Aaron's Inc,0,0,0,1,0,0,1,0,0,Services,"11,500",Rental & Leasing Services,41.12,40.90 - 41.57,2.91B,"Feb 15, 2018",26.12 - 48.22,"404,614",21.68,-0.53,48.14,1.9,0.12 (0.31%),2017-12-12,41.19,"952,601"
AAOI,Applied Optoelect,0,0,0,1,0,0,0,1,0,Technology,"2,776",Semiconductor - Integrated Circuits,35.94,35.35 - 36.67,694.852M,"Feb 21, 2018",27.82 - 103.41,"837,330",8.42,1.96,49.17,4.26,N/A (N/A),,36.31,"1,791,331"
AAON,Aaon Inc,0,0,0,1,0,0,0,1,0,Industrial Goods,"1,619",General Building Materials,36.20,35.25 - 36.67,1.918B,"May 3, 2017",29.95 - 38.25,"223,710",38.47,0.8,36.50,0.95,0.26 (0.72%),2017-11-29,36.40,"158,630"
AAP,Advance Auto Parts Inc,0,0,1,0,0,1,0,0,0,Services,"41,000",Auto Parts Stores,112.95,113.02 - 116.05,8.563B,"Feb 20, 2018",78.81 - 177.50,"1,579,194",24.34,0.64,110.58,4.76,0.24 (0.22%),2017-12-21,114.38,"1,850,296"
AAPL,Apple Inc,1,1,1,0,1,1,0,0,0,Consumer Goods,"123,000",Electronic Equipment,175.28,175.65 - 177.36,900.867B,"Feb 1, 2018",118.22 - 177.36,"25,418,080",19.23,1.31,186.32,9.21,2.52 (1.45%),2017-11-10,176.18,"26,658,992"
AAT,American Assets Trust,0,0,0,1,0,0,0,1,0,Financial,178,REIT - Retail,36.38,35.86 - 36.34,2.318B,"Feb 12, 2018",35.82 - 44.83,"129,026",54.11,0.36,43.20,0.67,1.08 (2.97%),2017-12-06,36.34,"239,046"
